Name	20446_OCI-shC-1_S37_L999_R1_001	20447_OCI-shC-2_S38_L999_R1_001	20450_OCI-shP9-1_S40_L999_R1_001	20451_OCI-shP9-2_S41_L999_R1_001
ENSG00000051180	787	794	732	659
ENSG00000051341	3600	4180	3788	3635
ENSG00000051382	2709	2977	4834	4801
ENSG00000051523	7205	7174	6722	6863
ENSG00000051596	375	372	360	367
ENSG00000051620	3905	4124	2977	3194
ENSG00000051825	2075	2153	2283	2119
ENSG00000052126	101	106	86	83
ENSG00000052344	5	10	2	2
ENSG00000052723	2825	2974	3009	2688
ENSG00000052749	2049	2155	2238	2227
ENSG00000052795	492	539	1100	1008
ENSG00000052802	997	1100	783	835
ENSG00000052841	2519	2838	2819	2708
ENSG00000052850	332	399	244	248
ENSG00000053108	1	1	0	0
ENSG00000053254	3767	4048	2557	2259
ENSG00000053328	0	0	0	0
ENSG00000053371	1466	1517	1013	1002
ENSG00000053372	2312	2531	2540	2491
ENSG00000053438	0	1	0	0
ENSG00000053501	515	467	401	393
ENSG00000053524	27	45	33	34
ENSG00000053702	2	2	2	2
ENSG00000053747	129	148	110	94
ENSG00000053770	1561	1765	1608	1439
ENSG00000053900	1236	1424	1337	1250
ENSG00000053918	215	227	149	146
ENSG00000054116	1536	1584	1430	1452
ENSG00000054118	6775	7175	6543	6583
ENSG00000054148	1288	1306	990	1022
